ip_address,as_number,as_name,country_code
109.201.130.24,AS43350,NFORCE,NL
138.199.47.221,AS212238,CDNEXT,GB
138.199.47.222,AS212238,CDNEXT,GB
138.199.47.223,AS212238,CDNEXT,GB
138.199.47.224,AS212238,CDNEXT,GB
138.199.47.225,AS212238,CDNEXT,GB
138.199.47.226,AS212238,CDNEXT,GB
138.199.47.227,AS212238,CDNEXT,GB
138.199.47.228,AS212238,CDNEXT,GB
138.199.47.229,AS212238,CDNEXT,GB
138.199.47.230,AS212238,CDNEXT,GB
138.199.47.231,AS212238,CDNEXT,GB
138.199.47.232,AS212238,CDNEXT,GB
138.199.47.233,AS212238,CDNEXT,GB
138.199.47.234,AS212238,CDNEXT,GB
138.199.47.235,AS212238,CDNEXT,GB
138.199.47.236,AS212238,CDNEXT,GB
138.199.47.237,AS212238,CDNEXT,GB
138.199.47.238,AS212238,CDNEXT,GB
138.199.47.239,AS212238,CDNEXT,GB
138.199.47.240,AS212238,CDNEXT,GB
138.199.47.241,AS212238,CDNEXT,GB
138.199.47.242,AS212238,CDNEXT,GB
138.199.47.243,AS212238,CDNEXT,GB
138.199.47.244,AS212238,CDNEXT,GB
138.199.47.245,AS212238,CDNEXT,GB
138.199.47.246,AS212238,CDNEXT,GB
138.199.59.212,AS212238,CDNEXT,GB
138.199.59.56,AS212238,CDNEXT,GB
143.244.41.149,AS212238,CDNEXT,GB
146.70.120.136,AS9009,M247,RO
146.70.120.137,AS9009,M247,RO
146.70.221.43,AS9009,M247,RO
146.70.244.25,AS9009,M247,RO
146.70.244.27,AS9009,M247,RO
146.70.244.9,AS9009,M247,RO
149.102.245.68,AS212238,CDNEXT,GB
149.102.245.69,AS212238,CDNEXT,GB
149.102.245.70,AS212238,CDNEXT,GB
149.102.245.71,AS212238,CDNEXT,GB
149.102.245.72,AS212238,CDNEXT,GB
149.102.245.73,AS212238,CDNEXT,GB
149.102.245.74,AS212238,CDNEXT,GB
149.102.245.75,AS212238,CDNEXT,GB
149.36.50.130,AS212238,CDNEXT,GB
149.36.50.131,AS212238,CDNEXT,GB
149.36.50.132,AS212238,CDNEXT,GB
149.36.50.133,AS212238,CDNEXT,GB
149.36.50.134,AS212238,CDNEXT,GB
149.36.50.135,AS212238,CDNEXT,GB
149.36.50.136,AS212238,CDNEXT,GB
149.36.50.137,AS212238,CDNEXT,GB
149.36.50.138,AS212238,CDNEXT,GB
149.36.50.139,AS212238,CDNEXT,GB
149.36.50.140,AS212238,CDNEXT,GB
149.36.50.141,AS212238,CDNEXT,GB
149.36.50.142,AS212238,CDNEXT,GB
149.36.50.143,AS212238,CDNEXT,GB
149.36.50.145,AS212238,CDNEXT,GB
149.36.50.146,AS212238,CDNEXT,GB
149.36.50.147,AS212238,CDNEXT,GB
149.36.50.148,AS212238,CDNEXT,GB
149.36.50.149,AS212238,CDNEXT,GB
149.36.50.150,AS212238,CDNEXT,GB
149.36.51.130,AS212238,CDNEXT,GB
149.36.51.131,AS212238,CDNEXT,GB
149.36.51.132,AS212238,CDNEXT,GB
149.36.51.133,AS212238,CDNEXT,GB
149.36.51.134,AS212238,CDNEXT,GB
149.36.51.135,AS212238,CDNEXT,GB
149.36.51.136,AS212238,CDNEXT,GB
149.36.51.137,AS212238,CDNEXT,GB
149.36.51.138,AS212238,CDNEXT,GB
149.36.51.139,AS212238,CDNEXT,GB
149.36.51.140,AS212238,CDNEXT,GB
149.36.51.141,AS212238,CDNEXT,GB
149.36.51.142,AS212238,CDNEXT,GB
149.36.51.143,AS212238,CDNEXT,GB
149.36.51.144,AS212238,CDNEXT,GB
149.36.51.145,AS212238,CDNEXT,GB
149.36.51.146,AS212238,CDNEXT,GB
149.36.51.147,AS212238,CDNEXT,GB
149.36.51.148,AS212238,CDNEXT,GB
149.36.51.149,AS212238,CDNEXT,GB
149.36.51.150,AS212238,CDNEXT,GB
149.36.51.151,AS212238,CDNEXT,GB
149.36.51.152,AS212238,CDNEXT,GB
149.36.51.153,AS212238,CDNEXT,GB
149.36.51.154,AS212238,CDNEXT,GB
149.36.51.155,AS212238,CDNEXT,GB
149.40.50.46,AS212238,CDNEXT,GB
149.40.61.196,AS212238,CDNEXT,GB
149.40.61.197,AS212238,CDNEXT,GB
149.40.61.198,AS212238,CDNEXT,GB
149.40.61.199,AS212238,CDNEXT,GB
149.40.61.200,AS212238,CDNEXT,GB
149.40.61.201,AS212238,CDNEXT,GB
149.40.61.202,AS212238,CDNEXT,GB
149.40.61.203,AS212238,CDNEXT,GB
149.40.61.204,AS212238,CDNEXT,GB
149.40.61.205,AS212238,CDNEXT,GB
149.40.61.206,AS212238,CDNEXT,GB
149.40.61.207,AS212238,CDNEXT,GB
149.40.61.208,AS212238,CDNEXT,GB
149.40.61.209,AS212238,CDNEXT,GB
149.40.61.210,AS212238,CDNEXT,GB
149.40.61.211,AS212238,CDNEXT,GB
149.40.61.212,AS212238,CDNEXT,GB
149.40.61.213,AS212238,CDNEXT,GB
149.40.61.214,AS212238,CDNEXT,GB
149.40.61.215,AS212238,CDNEXT,GB
149.40.61.216,AS212238,CDNEXT,GB
149.40.61.217,AS212238,CDNEXT,GB
149.40.61.218,AS212238,CDNEXT,GB
149.40.61.219,AS212238,CDNEXT,GB
149.50.218.170,AS212238,CDNEXT,GB
185.156.175.182,AS9009,M247,RO
185.183.105.134,AS9009,M247,RO
185.183.105.135,AS9009,M247,RO
185.183.105.136,AS9009,M247,RO
185.183.105.137,AS9009,M247,RO
185.183.105.138,AS9009,M247,RO
185.183.105.139,AS9009,M247,RO
185.183.105.140,AS9009,M247,RO
185.183.105.141,AS9009,M247,RO
185.183.105.142,AS9009,M247,RO
185.183.105.154,AS9009,M247,RO
185.212.170.18,AS9009,M247,RO
185.253.96.16,AS9009,M247,RO
185.253.96.32,AS9009,M247,RO
193.239.84.83,AS9009,M247,RO
212.102.35.100,AS212238,CDNEXT,GB
212.102.35.107,AS212238,CDNEXT,GB
212.102.35.142,AS212238,CDNEXT,GB
212.102.35.40,AS212238,CDNEXT,GB
212.102.35.58,AS212238,CDNEXT,GB
212.102.35.65,AS212238,CDNEXT,GB
212.102.35.73,AS212238,CDNEXT,GB
212.102.35.83,AS212238,CDNEXT,GB
212.102.35.85,AS212238,CDNEXT,GB
212.102.35.88,AS212238,CDNEXT,GB
212.102.35.93,AS212238,CDNEXT,GB
212.102.35.99,AS212238,CDNEXT,GB
212.102.57.9,AS212238,CDNEXT,GB
212.102.63.146,AS60068,CDN77_,GB
37.120.213.166,AS9009,M247,RO
37.120.213.167,AS9009,M247,RO
37.120.213.168,AS9009,M247,RO
37.120.213.169,AS9009,M247,RO
37.120.213.170,AS9009,M247,RO
37.120.213.171,AS9009,M247,RO
