ip_address,as_number,as_name,country_code
38.180.55.137,AS9009,M247,RO
38.180.143.83,AS9009,M247,RO
38.180.108.68,AS9009,M247,RO
37.252.6.86,AS200088,ARTNET2,PL
109.120.150.38,AS210644,AEZA-AS,GB
94.232.249.17,AS214927,PSB-AS,GB
185.82.219.192,AS59729,ITL-BG,US
46.29.234.49,AS215540,GCS-AS,GB
103.231.75.120,AS44477,STARK-INDUSTRIES,GB
65.38.120.149,AS399629,BLNWX,US
94.140.115.92,AS43513,NANO-AS,LV
94.232.249.17,AS214927,PSB-AS,GB
89.185.84.159,AS215540,GCS-AS,GB
37.252.7.168,AS200088,ARTNET2,PL
147.45.114.3,AS50053,ANTON-LEVIN-AS,GE
95.164.116.67,AS44477,STARK-INDUSTRIES,GB
85.209.154.243,AS44477,STARK-INDUSTRIES,GB
195.85.114.82,AS399629,BLNWX,US
64.7.199.26,AS399629,BLNWX,US
156.227.6.32,AS135330,ADCDATACOM-AS-AP ADCDATA.COM,HK
