cidr,as_number,as_name,geolocation
102.165.16.0/24,AS174,COGENT-174,US
104.152.222.0/24,AS397373,H4Y-TECHNOLOGIES,US
104.194.141.0/24,AS198983,TORNADODATACENTER,US
104.194.146.0/24,AS198983,TORNADODATACENTER,US
104.223.102.0/24,AS8100,ASN-QUADRANET-GLOBAL,US
104.223.103.0/24,AS8100,ASN-QUADRANET-GLOBAL,US
104.244.209.0/24,AS13737,AS-INCX,US
138.199.29.0/24,AS212238,CDNEXT,GB
139.28.177.0/24,AS9009,M247,DE
143.244.41.0/24,AS212238,CDNEXT,NL
143.244.44.0/24,AS212238,CDNEXT,US
146.70.68.0/24,AS9009,M247,FR
147.45.66.0/24,AS215590,DPKGSOFT-AS,RU
149.102.245.0/24,AS212238,CDNEXT,FR
149.34.245.0/24,AS212238,CDNEXT,FR
149.40.50.0/24,AS212238,CDNEXT,US
149.40.56.0/24,AS212238,CDNEXT,US
154.47.21.0/24,AS212238,CDNEXT,NL
154.47.26.0/24,AS212238,CDNEXT,US
154.47.28.0/24,AS212238,CDNEXT,US
155.94.247.0/24,AS8100,ASN-QUADRANET-GLOBAL,US
155.94.251.0/24,AS8100,ASN-QUADRANET-GLOBAL,US
156.146.62.0/24,AS212238,CDNEXT,CH
166.1.160.0/24,AS41745,FORTIS-AS Hosting services,US
167.88.162.0/24,AS198983,TORNADODATACENTER,US
169.150.197.0/24,AS212238,CDNEXT,CH
172.241.250.0/24,AS7203,LEASEWEB-USA-SFO,US
173.44.36.0/24,AS8100,ASN-QUADRANET-GLOBAL,US
176.97.75.0/24,AS9009,M247,CZ
178.22.31.0/24,AS215540,GCS-AS,RU
181.214.173.0/24,AS174,COGENT-174,DE
181.215.176.0/24,AS174,COGENT-174,GB
185.103.103.0/24,AS215590,DPKGSOFT-AS,SE
185.123.143.0/24,AS9009,M247,RO
185.191.204.0/24,AS35758,HQSERV_NETWORKS,IL
185.225.28.0/24,AS205119,TELEKS-,MK
185.87.148.0/24,AS9009,M247,CZ
185.87.149.0/24,AS9009,M247,CZ
191.101.157.0/24,AS174,COGENT-174,DE
192.34.83.0/24,AS33083,AXCELX-NET,US
193.233.80.0/24,AS215590,DPKGSOFT-AS,DE
193.239.84.0/24,AS9009,M247,GB
193.36.118.0/24,AS206804,ESTNOC-GLOBAL,GB
194.32.122.0/24,AS61272,IST-AS,LT
194.37.96.0/24,AS9009,M247,GB
195.181.170.0/24,AS60068,CDN77 _,DE
198.12.64.0/24,AS36352,AS-COLOCROSSING,CA
198.44.131.0/24,AS11878,TZULO,US
198.44.137.0/24,AS11878,TZULO,US
198.44.138.0/24,AS11878,TZULO,US
202.43.6.0/24,AS61317,ASDETUK www.heficed.com,GB
206.217.139.0/24,AS36352,AS-COLOCROSSING,CA
212.102.36.0/24,AS60068,CDN77 _,CH
212.102.37.0/24,AS212238,CDNEXT,CH
212.102.53.0/24,AS212238,CDNEXT,GB
212.112.19.0/24,AS42708,PORTLANE www.portlane.com,SE
216.24.213.0/24,AS174,COGENT-174,DE
216.24.216.0/24,AS174,COGENT-174,DE
37.120.147.0/24,AS9009,M247,US
37.120.213.0/24,AS9009,M247,CH
37.120.233.0/24,AS9009,M247,GB
37.46.113.0/24,AS51430,ALTUS,LU
38.180.14.0/24,AS9009,M247,CZ
38.180.48.0/24,AS9009,M247,CZ
38.180.49.0/24,AS9009,M247,CZ
45.133.172.0/24,AS174,COGENT-174,GB
45.133.173.0/24,AS174,COGENT-174,GB
45.88.97.0/24,AS174,COGENT-174,DE
46.246.3.0/24,AS42708,PORTLANE www.portlane.com,SE
46.246.8.0/24,AS42708,PORTLANE www.portlane.com,SE
46.8.228.0/24,AS56971,AS56971 AS56971 Cloud,RU
5.253.204.0/24,AS9009,M247,LU
68.235.45.0/24,AS11878,TZULO,US
72.11.157.0/24,AS207083,HOSTSLIM-GLOBAL-NETWORK,NL
72.11.157.0/24,AS8100,ASN-QUADRANET-GLOBAL,NL
74.80.181.0/24,AS13737,AS-INCX,US
77.43.207.0/24,AS15640,FPIC-AS,RU
79.127.211.0/24,AS60068,CDN77 _,DE
79.142.79.0/24,AS51430,ALTUS,CH
84.239.45.0/24,AS212238,CDNEXT,US
85.203.39.0/24,AS206804,ESTNOC-GLOBAL,LV
87.121.218.0/24,AS215590,DPKGSOFT-AS,HR
88.151.192.0/24,AS215540,GCS-AS,UA
89.187.187.0/24,AS60068,CDN77 _,US
89.42.142.0/24,AS199058,SERVAONE,RO
91.108.245.0/24,AS215590,DPKGSOFT-AS,AU
91.122.222.0/24,AS12389,ROSTELECOM-AS,RU
92.246.141.0/24,AS215590,DPKGSOFT-AS,AM
94.23.145.0/24,AS16276,OVH,NL
94.23.146.0/24,AS16276,OVH,NL
94.23.149.0/24,AS16276,OVH,NL
95.164.53.0/24,AS29632,NASSIST-AS,GI
95.164.85.0/24,AS44477,STARK-INDUSTRIES,DK
95.173.216.0/24,AS60068,CDN77 _,CZ
95.173.221.0/24,AS212238,CDNEXT,CZ
98.159.234.0/24,AS212238,CDNEXT,GB
165.231.182.0/24,AS58065,PACKETEXCHANGE,GB
191.96.168.0/24,AS174,COGENT-174,US
212.102.35.0/24,AS212238,CDNEXT,GB
84.17.42.0/24,AS60068,CDN77,GB
