cidr,as_number,as_name,geolocation
103.254.153.0/24,AS59253,LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD.,SG
104.252.127.0/24,AS56971,Cloud,HK
104.254.90.0/24,AS32489,AMANAHA-NEW,CA
109.206.236.0/24,AS56971,Cloud,HK
109.248.160.0/24,AS56971,Cloud,HK
109.248.161.0/24,AS56971,Cloud,HK
109.248.163.0/24,AS56971,Cloud,HK
128.127.104.0/24,AS51430,ALTUS,NL
134.19.178.0/24,AS49453,GLOBALLAYER,NL
134.19.179.0/24,AS49453,GLOBALLAYER,NL
139.28.218.0/24,AS9009,M247,RO
141.98.101.0/24,AS9009,M247,RO
141.98.102.0/24,AS9009,M247,RO
141.98.103.0/24,AS9009,M247,RO
141.98.83.0/24,AS209588,FLYSERVERS-ASN,PA
143.244.33.0/24,AS60068,CDN77 _,GB
143.244.63.0/24,AS60068,CDN77 _,GB
146.70.111.0/24,AS9009,M247,RO
146.70.163.0/24,AS9009,M247,RO
146.70.52.0/24,AS9009,M247,RO
146.70.61.0/24,AS9009,M247,RO
147.45.47.0/24,AS215789,KARINAR,UA
147.78.47.0/24,AS209588,FLYSERVERS-ASN,PA
152.89.160.0/24,AS9009,M247,RO
162.219.176.0/24,AS32489,AMANAHA-NEW,CA
173.249.217.0/24,AS11878,TZULO,US
178.215.224.0/24,AS401116,NYBULA,US
178.255.222.0/24,AS56971,Cloud,HK
179.60.146.0/24,AS209132,AS209132,SC
179.60.149.0/24,AS395839,HOSTKEY-USA,US
181.119.160.0/24,AS18747,IFX18747,US
181.78.83.0/24,AS18747,IFX18747,US
181.78.98.0/24,AS18747,IFX18747,US
184.75.221.0/24,AS32489,AMANAHA-NEW,CA
184.75.223.0/24,AS32489,AMANAHA-NEW,CA
185.104.186.0/24,AS9009,M247,RO
185.104.187.0/24,AS9009,M247,RO
185.156.174.0/24,AS9009,M247,RO
185.156.175.0/24,AS9009,M247,RO
185.159.128.0/24,AS56971,Cloud,HK
185.183.106.0/24,AS9009,M247,RO
185.189.112.0/24,AS9009,M247,RO
185.190.24.0/24,AS211632,ORG-ISI14-RIPE,SC
185.200.116.0/24,AS9009,M247,RO
185.200.117.0/24,AS9009,M247,RO
185.206.227.0/24,AS9009,M247,RO
185.228.235.0/24,AS56971,Cloud,HK
185.246.209.0/24,AS60068,CDN77 _,GB
185.31.200.0/24,AS56971,Cloud,HK
185.9.19.0/24,AS9009,M247,RO
185.92.180.0/24,AS56971,Cloud,HK
185.92.181.0/24,AS56971,Cloud,HK
185.92.182.0/24,AS56971,Cloud,HK
185.92.183.0/24,AS56971,Cloud,HK
185.94.192.0/24,AS9009,M247,RO
188.130.154.0/24,AS56971,Cloud,HK
188.130.206.0/24,AS56971,Cloud,HK
190.60.16.0/24,AS18747,IFX18747,US
190.60.27.0/24,AS18747,IFX18747,US
192.145.126.0/24,AS9009,M247,RO
193.107.92.0/24,AS13259,DELTA-TELESYSTEMS-AS,RU
193.107.93.0/24,AS13259,DELTA-TELESYSTEMS-AS,RU
193.164.155.0/24,AS56971,Cloud,HK
193.176.190.0/24,AS56971,Cloud,HK
193.187.173.0/24,AS56971,Cloud,HK
193.187.88.0/24,AS42675,OBEHOSTING Obehosting AB,SE
193.187.91.0/24,AS42675,OBEHOSTING Obehosting AB,SE
193.37.252.0/24,AS9009,M247,RO
193.37.253.0/24,AS9009,M247,RO
193.37.69.0/24,AS208091,XHOST-INTERNET-SOLUTIONS,GB
193.43.72.0/24,AS56971,Cloud,HK
193.43.79.0/24,AS56971,Cloud,HK
193.43.91.0/24,AS56971,Cloud,HK
194.113.245.0/24,AS56971,Cloud,HK
194.113.37.0/24,AS56971,Cloud,HK
194.116.214.0/24,AS56971,Cloud,HK
194.116.215.0/24,AS56971,Cloud,HK
194.116.216.0/24,AS56971,Cloud,HK
194.120.24.0/24,AS56971,Cloud,HK
194.187.251.0/24,AS9009,M247,RO
194.34.255.0/24,AS56594,CB-BYO-IP,HK
194.48.251.0/24,AS401120,CHEAPY-HOST,US
195.181.163.0/24,AS60068,CDN77 _,GB
195.206.105.0/24,AS9009,M247,RO
195.211.124.0/24,AS56971,Cloud,HK
198.44.133.0/24,AS11878,TZULO,US
198.44.134.0/24,AS11878,TZULO,US
198.44.136.0/24,AS11878,TZULO,US
198.54.128.0/24,AS11878,TZULO,US
198.54.129.0/24,AS11878,TZULO,US
198.54.130.0/24,AS11878,TZULO,US
198.54.134.0/24,AS11878,TZULO,US
199.189.27.0/24,AS32489,AMANAHA-NEW,CA
200.110.153.0/24,AS18747,IFX18747,US
200.73.18.0/24,AS18747,IFX18747,US
208.77.22.0/24,AS11878,TZULO,US
213.152.161.0/24,AS49453,GLOBALLAYER,NL
213.152.162.0/24,AS49453,GLOBALLAYER,NL
213.152.186.0/24,AS49453,GLOBALLAYER,NL
213.152.187.0/24,AS49453,GLOBALLAYER,NL
213.232.204.0/24,AS56971,Cloud,HK
217.138.195.0/24,AS9009,M247,RO
217.138.222.0/24,AS9009,M247,RO
217.151.98.0/24,AS9009,M247,RO
217.64.127.0/24,AS9009,M247,RO
23.188.88.0/24,AS215376,MLCLOUD,RU
2.58.47.0/24,AS9009,M247,RO
